Dataset,Country,Hours,Mean (MW),Std (MW),Min (MW),Max (MW)
Train,DE,40320,55914.782316468256,10014.798311933737,31307.0,77549.0
Train,FR,40320,54125.5343625992,11711.3708231398,30426.0,94492.0
Train,IT,40320,33252.319072420636,7602.897184177233,16716.0,55157.0
Val,DE,5040,56514.18313492063,9956.04398873017,34730.0,75551.0
Val,FR,5040,55419.15496031746,11134.587532634734,31183.0,82832.0
Val,IT,5040,32849.228373015874,7480.585529746935,17014.0,48261.0
Test,DE,5041,51090.27177147391,8933.24666200041,31923.0,73802.0
Test,FR,5041,44080.16931164452,6908.471462534323,29398.0,112073.0
Test,IT,5041,30013.807577861535,7147.929085808291,15334.0,49964.0
